companyName,flightNumber, country-of-origin,country-of-destination,stopover,price,time-of-departure,time-of-arrival,date
LATAM Airlines,66,Antarctica,Kazakhstan,1,1112,17:23,16:13,10-Oct
TAME,22,Morocco,Lebanon,0,540,10:53,24:05:00,17-May
Copa Airlines,50,Bahrain,Ghana,2,730,9:34,13:17,21-Feb
Copa Airlines,119,Austria,Falkland Islands Malvinas,3,477,12:11,1:13,17-Feb
TAME,110,Niger,Macao,3,452,23:27,16:53,10-Oct
Viva Air Colombia,41,Dominica,Cameroon,2,1332,1:07,1:06,26-Sep
Insel Air,24,Portugal,Mongolia,3,953,5:36,4:13,11-Jun
Aerolineas Argentinas Airlines,101,Argentina,South Africa,0,523,20:23,9:38,25-Oct
Air Canada,20,Philippines,Kiribati,0,1711,2:33,3:55,8-Sep
Air Canada,90,South Sudan,Ethiopia,3,1947,2:17,13:17,12-Nov
Viva Air Colombia,30,Tuvalu,Puerto Rico,1,1000,10:31,22:25,5-Apr
Gol Transportes Aereos,133,Chad,Sierra Leone,2,1260,17:29,16:57,7-Apr
Avianca Airlines,20,South Africa,Tanzania United Republic of,3,966,21:41,21:02,23-Oct
Alaska Airlines,55,Palau,Tonga,3,642,19:37,15:23,22-Aug
Linea Aerea Amaszonas,62,Seychelles,Samoa,3,1075,18:36,15:10,20-May
Boliviana de Aviacion,79,Albania,Liechtenstein,1,1334,9:17,12:00,1-Dec
American Airlines,67,San Marino,Monaco,2,1311,19:07,4:37,1-Sep
Copa Airlines,44,Martinique,Eritrea,1,293,8:36,23:08,25-Apr
LATAM Airlines,46,Cocos Keeling Islands,Liberia,0,1638,12:15,7:22,28-Dec
Alaska Airlines,72,Guadeloupe,South Georgia and the South Sandwich Islands,2,299,24:31:00,23:59,27-Dec
LATAM Airlines,116,Nicaragua,Switzerland,1,560,10:26,18:12,5-Apr
Air Canada,150,Romania,Brazil,2,1391,5:39,12:34,6-Sep
TAME,46,Aruba,Monaco,2,1745,1:50,16:26,9-Aug
Alaska Airlines,141,United Arab Emirates,Isle of Man,2,1875,6:40,16:22,26-Aug
Avianca Airlines,127,Faroe Islands,Poland,1,604,21:15,3:10,10-Jan
Copa Airlines,6,Grenada,Tokelau,2,650,8:25,13:46,1-Jan
Air Canada,38,Northern Mariana Islands,Sao Tome and Principe,3,548,3:34,2:44,14-May
American Airlines,139,Sudan,Jamaica,2,1667,7:48,24:06:00,14-Jun
Viva Air Colombia,88,Bosnia and Herzegovina,Canada,1,1254,21:50,5:17,20-Oct
Conviasa,108,Georgia,Saint Martin French part,2,1545,3:05,5:59,3-Oct
Gol Transportes Aereos,103,Saint Barthelemy,Vanuatu,1,1142,14:46,2:54,11-Feb
Aerolineas Argentinas Airlines,115,Bangladesh,Liberia,0,1002,13:41,17:03,7-May
Air Canada,71,Cape Verde,Namibia,1,1998,18:23,5:17,27-Feb
Gol Transportes Aereos,82,Vanuatu,Iran Islamic Republic of,0,1963,7:09,14:21,21-Sep
Viva Air Colombia,39,British Indian Ocean Territory,Costa Rica,3,1521,17:18,9:12,7-Apr
Boliviana de Aviacion,20,Kazakhstan,Bolivia Plurinational State of,0,1728,15:49,13:55,18-Sep
Azul Brazilian Airlines,12,Canada,South Georgia and the South Sandwich Islands,1,1763,24:02:00,6:31,4-Oct
Linea Aerea Amaszonas,143,Afghanistan,Pakistan,3,304,19:21,9:07,18-Apr
Copa Airlines,27,British Indian Ocean Territory,Christmas Island,0,460,0:59,15:53,27-Jul
Aerolineas Argentinas Airlines,31,Tonga,Ireland,0,1900,16:43,5:57,25-Jan
LATAM Airlines,39,Saudi Arabia,Lao Peoples Democratic Republic,0,315,9:10,22:49,12-Jun
American Airlines,133,Mauritius,Libya,3,1693,6:12,12:15,3-Jun
Air Canada,93,Burundi,Palestinian Territory Occupied,1,1355,13:35,23:18,25-Jan
Azul Brazilian Airlines,113,United States,Kyrgyzstan,0,305,19:28,21:08,16-Dec
Gol Transportes Aereos,24,Latvia,Paraguay,0,1607,11:37,9:58,18-Jun
Aeromexico,118,Marshall Islands,Cape Verde,3,793,11:14,10:17,4-Sep
Aeromexico,12,Puerto Rico,Malawi,1,1853,1:41,15:15,28-Dec
Azul Brazilian Airlines,131,Spain,Kenya,1,770,3:00,20:17,6-May
Air Canada,121,Azerbaijan,Gabon,1,560,21:14,13:09,12-Jul
Copa Airlines,116,Equatorial Guinea,Dominica,3,1698,4:13,17:59,20-May
Aeromexico,75,Luxembourg,India,2,1291,4:32,12:28,28-Sep
Gol Transportes Aereos,99,Belarus,Jamaica,3,672,2:24,15:49,25-Nov
Viva Air Colombia,20,Bulgaria,Haiti,1,1429,12:06,2:38,4-Apr
Aeromexico,150,Lao Peoples Democratic Republic,Greece,0,1504,18:41,20:28,24-Feb
Aerolineas Argentinas Airlines,75,Taiwan Province of China,Canada,0,1597,21:38,20:50,1-Feb
Copa Airlines,114,Marshall Islands,Tonga,0,563,24:59:00,0:32,2-Jun
Viva Air Colombia,70,Philippines,Nigeria,3,640,24:02:00,20:06,12-Jan
Conviasa,27,Marshall Islands,Burundi,3,1089,23:24,15:02,14-Jan
TAME,21,Mauritius,El Salvador,2,1285,5:13,16:17,6-Mar
Linea Aerea Amaszonas,50,Sudan,Mayotte,0,1630,10:24,19:35,24-Feb
Conviasa,74,Antarctica,Faroe Islands,1,854,24:09:00,16:44,19-Feb
TAME,101,Brunei Darussalam,Slovenia,3,1309,1:28,9:59,30-Dec
Linea Aerea Amaszonas,41,Niue,Andorra,3,562,19:30,9:26,19-Jan
Conviasa,40,Heard Island and McDonald Islands,Central African Republic,1,629,3:02,3:25,17-Jul
Aerolineas Argentinas Airlines,90,Senegal,Ukraine,0,1477,16:26,16:59,28-Oct
American Airlines,15,Cyprus,Thailand,0,848,7:33,17:43,28-Feb
Gol Transportes Aereos,144,Paraguay,Syrian Arab Republic,3,1551,15:24,23:48,26-Oct
American Airlines,110,Hungary,Tunisia,3,364,0:49,11:54,12-Aug
Gol Transportes Aereos,69,Reunion,Liechtenstein,3,703,8:33,14:32,27-Apr
Linea Aerea Amaszonas,5,Sri Lanka,Costa Rica,0,1007,6:32,13:23,29-May
Air Canada,48,Indonesia,Lithuania,0,1884,15:48,20:27,23-Jan
Copa Airlines,12,Senegal,Libya,2,1933,4:43,7:26,15-Jan
Copa Airlines,75,Iran Islamic Republic of,Pakistan,1,1987,19:34,21:20,18-Nov
Alaska Airlines,39,Greece,Aland Islands,0,437,4:55,16:28,9-Oct
Aerolineas Argentinas Airlines,10,Liechtenstein,New Caledonia,2,769,24:04:00,17:01,20-Jul
American Airlines,56,Nepal,Norfolk Island,3,1193,21:01,10:39,1-May
LATAM Airlines,107,Poland,Fiji,1,1219,24:17:00,6:56,26-Jul
Gol Transportes Aereos,128,Japan,Palau,1,1278,14:47,12:22,13-Feb
Viva Air Colombia,70,Congo The Democratic Republic of the,San Marino,3,1293,23:29,10:03,6-Nov
TAME,4,British Indian Ocean Territory,Malawi,2,1596,6:38,14:49,22-Aug
Insel Air,1,Solomon Islands,Turkey,3,1560,9:18,11:40,14-Oct
LATAM Airlines,76,Brazil,Swaziland,1,314,22:24,0:59,7-Feb
Boliviana de Aviacion,36,Georgia,Bhutan,2,1769,18:54,17:34,18-Nov
Boliviana de Aviacion,53,Latvia,TimorLeste,0,1371,21:28,3:15,30-Nov
Avianca Airlines,34,Sao Tome and Principe,Sweden,1,856,6:27,3:37,13-Jul
TAME,10,Somalia,Kyrgyzstan,0,1661,19:15,7:02,14-May
Avianca Airlines,72,Lebanon,Seychelles,2,459,14:12,11:10,4-Feb
Azul Brazilian Airlines,135,Lesotho,French Southern Territories,3,524,19:14,19:55,11-Nov
Boliviana de Aviacion,100,Latvia,Spain,2,412,8:14,4:57,10-Dec
Aeromexico,98,Christmas Island,Colombia,0,1419,16:12,11:31,4-Jan
LATAM Airlines,135,Aland Islands,Iraq,1,1515,11:32,12:05,22-Aug
Copa Airlines,81,Argentina,Bhutan,0,1545,16:28,20:00,11-Oct
Aerolineas Argentinas Airlines,8,Nicaragua,Cook Islands,3,1116,16:12,7:54,28-Jan
Avianca Airlines,97,Greece,Isle of Man,3,275,9:29,16:48,12-Jan
American Airlines,144,Slovakia,Senegal,3,266,16:21,14:00,8-Jan
Copa Airlines,4,Saint Kitts and Nevis,Paraguay,3,972,6:52,9:27,1-Oct
Alaska Airlines,93,Bermuda,Mozambique,1,1339,17:02,8:49,13-Feb
Air Canada,76,Albania,Uruguay,3,520,21:15,7:09,18-Dec
Gol Transportes Aereos,46,Congo,Guyana,0,397,23:03,24:57:00,10-Sep
Aerolineas Argentinas Airlines,91,Greenland,Jersey,2,768,23:12,10:46,29-Nov
Alaska Airlines,56,Turks and Caicos Islands,South Africa,2,1636,16:21,18:39,25-Feb
Boliviana de Aviacion,108,Bulgaria,Romania,1,260,8:46,21:02,27-Nov
Azul Brazilian Airlines,137,Vanuatu,Mauritania,0,804,3:21,2:49,10-Oct
Alaska Airlines,134,Jersey,Sao Tome and Principe,1,1829,4:41,12:19,11-Feb
American Airlines,47,Cameroon,Belize,2,1400,11:06,7:12,18-Jun
Aeromexico,68,Solomon Islands,Jamaica,0,1554,23:56,3:38,16-Mar
Alaska Airlines,22,Curacao,Guadeloupe,0,981,16:00,16:22,2-Feb
Aerolineas Argentinas Airlines,65,Japan,Reunion,0,1259,13:34,18:41,2-Feb
Insel Air,101,British Indian Ocean Territory,Korea Democratic Peoples Republic of,3,638,12:14,4:43,4-Feb
Avianca Airlines,17,Northern Mariana Islands,Bangladesh,2,1980,3:32,1:04,29-Apr
Air Canada,13,Korea Republic of,Congo,1,1630,1:14,1:50,7-Feb
Alaska Airlines,28,Montenegro,Turks and Caicos Islands,2,689,19:31,12:39,7-Nov
Conviasa,108,Qatar,Bermuda,2,1315,24:37:00,16:37,26-Aug
Conviasa,117,Georgia,Norfolk Island,3,1472,9:26,10:37,10-Aug
Air Canada,102,Austria,Myanmar,2,1485,4:18,0:34,17-May
Avianca Airlines,16,Andorra,Mozambique,1,810,11:36,0:54,8-Dec
Azul Brazilian Airlines,86,Lithuania,Pakistan,3,961,5:59,10:03,13-Feb
Viva Air Colombia,38,San Marino,Micronesia Federated States of,2,1817,14:46,13:54,15-Jan
Copa Airlines,131,Ireland,Sint Maarten Dutch part,3,952,21:18,13:00,26-Jan
Aeromexico,109,Virgin Islands US,Nigeria,2,817,3:15,9:56,4-Feb
Conviasa,104,Nauru,Haiti,2,1954,3:16,16:32,8-Aug
Aeromexico,80,Congo The Democratic Republic of the,Ecuador,3,619,11:12,20:36,11-Mar
Azul Brazilian Airlines,37,Montenegro,Poland,2,330,15:33,12:51,24-Nov
Viva Air Colombia,147,Bahamas,Cuba,0,420,10:05,23:15,11-Feb
Linea Aerea Amaszonas,65,Denmark,Egypt,1,1530,10:49,6:16,11-Jan
American Airlines,18,French Guiana,Svalbard and Jan Mayen,1,1142,7:55,1:24,28-Oct
Azul Brazilian Airlines,101,Slovakia,Aland Islands,0,1694,5:16,7:21,1-Dec
Air Canada,33,Hungary,Croatia,1,664,18:13,20:15,12-Apr
Viva Air Colombia,74,Guyana,Paraguay,0,1221,2:02,2:22,22-Feb
Aerolineas Argentinas Airlines,101,Cocos Keeling Islands,Haiti,2,1287,20:16,9:59,5-Feb
LATAM Airlines,46,Moldova Republic of,Fiji,3,538,20:25,15:39,7-Oct
Aerolineas Argentinas Airlines,9,Virgin Islands US,Czech Republic,2,1326,7:48,20:16,2-Jan
Aeromexico,143,Benin,China,3,1101,5:45,12:07,9-Aug
Gol Transportes Aereos,77,Virgin Islands US,Barbados,2,1525,16:20,19:08,26-Apr
Aerolineas Argentinas Airlines,66,Ireland,Finland,1,1510,23:10,17:45,28-Jan
Viva Air Colombia,76,Liechtenstein,Austria,2,326,19:53,0:28,5-Jan
LATAM Airlines,36,Tanzania United Republic of,Saint Martin French part,0,1945,18:46,5:09,12-Nov
Viva Air Colombia,84,Russian Federation,Libya,3,542,24:35:00,12:20,20-Jun
Conviasa,108,Mali,Armenia,1,1324,6:37,4:46,6-Feb
LATAM Airlines,92,Saint Vincent and the Grenadines,Peru,3,625,6:33,24:26:00,4-May
American Airlines,84,Ghana,San Marino,1,258,19:52,2:10,22-Dec
Boliviana de Aviacion,144,Svalbard and Jan Mayen,Greece,3,875,16:14,20:43,22-Apr
LATAM Airlines,5,Marshall Islands,Oman,3,1416,16:27,8:27,27-Feb
Viva Air Colombia,145,Guyana,Montserrat,3,1861,6:04,21:00,20-Dec
Copa Airlines,76,Solomon Islands,Sint Maarten Dutch part,2,740,7:43,17:16,27-Jan
Aerolineas Argentinas Airlines,47,Mexico,Chad,3,642,2:45,3:33,4-Feb
Viva Air Colombia,101,Mauritania,Egypt,2,839,12:45,17:23,7-Oct
LATAM Airlines,25,Sao Tome and Principe,Saint Kitts and Nevis,2,1942,1:26,9:24,11-Sep
Azul Brazilian Airlines,61,Liechtenstein,Liberia,1,1258,7:11,1:19,11-Sep
American Airlines,47,Congo,French Guiana,2,483,13:26,11:04,3-Apr
Alaska Airlines,133,Kuwait,Switzerland,3,397,20:46,10:26,11-Feb
Air Canada,109,Kenya,El Salvador,2,598,20:17,11:49,13-Oct
Air Canada,46,Denmark,Brunei Darussalam,3,1813,15:04,19:13,8-Dec
Boliviana de Aviacion,135,Eritrea,Marshall Islands,0,931,17:07,24:23:00,21-Jun
American Airlines,148,Burundi,Mozambique,1,1310,1:36,13:23,27-Nov
LATAM Airlines,7,Heard Island and McDonald Islands,Guam,3,1678,19:59,23:48,14-Mar
Linea Aerea Amaszonas,91,India,United States,1,714,0:12,17:25,23-Mar
Avianca Airlines,57,Guatemala,Liberia,2,536,14:33,3:39,19-Dec
Gol Transportes Aereos,57,Curacao,Czech Republic,3,1327,22:02,1:47,11-Sep
Aerolineas Argentinas Airlines,107,Falkland Islands Malvinas,Tanzania United Republic of,3,1899,20:13,14:57,18-Mar
Avianca Airlines,142,Myanmar,United States,3,951,0:00,14:02,25-Jan
Insel Air,97,Heard Island and McDonald Islands,Russian Federation,3,1993,0:40,22:50,10-Apr
Azul Brazilian Airlines,112,Italy,Gibraltar,3,1809,0:01,7:53,15-Dec
Azul Brazilian Airlines,136,Kuwait,Benin,2,1503,12:06,10:54,12-Dec
Copa Airlines,38,South Sudan,Chile,1,1081,16:31,10:30,7-Mar
Aerolineas Argentinas Airlines,29,India,Malaysia,3,1171,12:33,5:52,29-Aug
Boliviana de Aviacion,136,Kazakhstan,Netherlands,3,1961,18:45,16:34,15-Sep
American Airlines,143,Bermuda,Turkey,3,733,9:20,4:47,9-Jun
Copa Airlines,26,Lao Peoples Democratic Republic,China,3,489,24:38:00,21:35,23-Sep
American Airlines,65,Chile,China,2,1692,6:43,15:39,8-Aug
Azul Brazilian Airlines,85,Virgin Islands US,Palestinian Territory Occupied,0,794,0:51,5:02,28-Apr
Linea Aerea Amaszonas,99,Denmark,Moldova Republic of,3,223,14:15,3:13,11-Nov
Alaska Airlines,52,Tajikistan,Dominican Republic,1,655,5:58,4:12,11-Jul
Viva Air Colombia,124,Togo,Heard Island and McDonald Islands,3,978,6:01,18:50,8-Jul
Alaska Airlines,36,Kuwait,Swaziland,1,1402,22:00,23:29,24-Mar
LATAM Airlines,48,Pitcairn,French Southern Territories,3,520,24:44:00,10:26,16-Mar
Boliviana de Aviacion,70,Gibraltar,Saint Kitts and Nevis,2,1406,19:03,11:45,5-Mar
Air Canada,91,Malta,Costa Rica,3,1596,6:57,6:44,4-Feb
Air Canada,110,Belize,Mauritius,2,1994,7:58,1:55,15-Apr
LATAM Airlines,35,Pitcairn,Belize,1,1736,6:29,22:26,25-Feb
Linea Aerea Amaszonas,149,Central African Republic,Bolivia Plurinational State of,2,583,18:18,7:33,22-Nov
Gol Transportes Aereos,69,Mauritius,Wallis and Futuna,1,1295,5:54,1:12,13-Jan
Boliviana de Aviacion,125,Azerbaijan,Grenada,3,1001,9:47,6:59,13-Oct
Boliviana de Aviacion,145,United States Minor Outlying Islands,Denmark,0,1924,8:38,9:23,18-Aug
Viva Air Colombia,61,Philippines,Bouvet Island,2,1654,21:29,2:36,2-Jan
LATAM Airlines,31,Libya,Macao,3,489,17:44,19:32,13-Feb
Aeromexico,146,Bonaire Sint Eustatius and Saba,Saint Helena Ascension and Tristan da Cunha,2,962,1:03,8:03,3-Apr
Avianca Airlines,15,San Marino,Rwanda,1,1933,23:10,24:00:00,13-May
LATAM Airlines,74,Solomon Islands,Moldova Republic of,0,593,3:06,7:20,22-Jan
Viva Air Colombia,48,Cape Verde,Madagascar,2,231,1:05,23:00,20-Feb
TAME,126,Wallis and Futuna,Macao,3,1858,5:26,1:45,21-Jan
Alaska Airlines,15,Finland,Germany,2,1934,16:09,13:41,21-Nov
Azul Brazilian Airlines,53,Saint Helena Ascension and Tristan da Cunha,Philippines,0,1325,21:11,21:34,9-Sep
TAME,89,Kazakhstan,Macao,2,454,22:56,17:53,1-Sep
Air Canada,127,Austria,Virgin Islands US,0,211,2:11,16:18,24-Feb
Copa Airlines,37,Micronesia Federated States of,Guyana,1,1284,9:26,2:29,6-Feb
Air Canada,36,Norway,Cyprus,0,1113,22:09,22:54,15-Jul
Viva Air Colombia,63,French Guiana,Dominica,0,954,8:31,20:13,30-Jun
Azul Brazilian Airlines,140,Singapore,Jordan,3,886,12:21,0:41,13-May
TAME,117,Belize,Hong Kong,3,1944,16:25,9:40,19-Mar
TAME,126,Qatar,Ghana,3,1089,4:51,16:38,14-Jan
Azul Brazilian Airlines,78,Tanzania United Republic of,Anguilla,0,1732,13:20,20:30,19-Nov
Insel Air,106,Senegal,Isle of Man,0,1659,24:02:00,11:52,21-Aug
Boliviana de Aviacion,36,Poland,Sri Lanka,2,1128,0:45,14:28,29-Aug
Boliviana de Aviacion,107,Zambia,Uganda,3,747,14:08,10:16,12-Oct
Avianca Airlines,132,Mexico,San Marino,1,901,22:24,7:55,23-Apr
Copa Airlines,82,Liechtenstein,Honduras,1,813,20:09,10:43,15-Aug
Azul Brazilian Airlines,12,Kazakhstan,British Indian Ocean Territory,1,312,18:15,16:03,11-Feb
Conviasa,19,Saint Vincent and the Grenadines,Germany,1,1510,21:31,17:07,26-Aug
Air Canada,137,Spain,Argentina,1,1145,21:49,3:45,14-Mar
Linea Aerea Amaszonas,140,Malta,Palau,3,972,24:17:00,20:26,15-Oct
Linea Aerea Amaszonas,29,Switzerland,Gabon,3,1295,3:42,16:47,16-Dec
Linea Aerea Amaszonas,52,Haiti,French Polynesia,0,874,18:40,13:06,17-Feb
American Airlines,134,Philippines,Czech Republic,2,670,11:59,5:43,17-Sep
American Airlines,101,Northern Mariana Islands,Macao,2,1538,8:21,6:25,10-Jul
Aerolineas Argentinas Airlines,117,Cocos Keeling Islands,Mexico,1,1925,18:04,10:47,30-Jun
Aerolineas Argentinas Airlines,9,New Zealand,Sri Lanka,1,411,23:57,6:06,26-May
Aeromexico,45,Faroe Islands,Somalia,2,1951,10:51,20:15,14-Jul
Copa Airlines,133,Faroe Islands,Somalia,2,1936,2:09,22:58,29Feb
Azul Brazilian Airlines,35,Qatar,Central African Republic,3,511,12:31,23:37,19-Mar
Linea Aerea Amaszonas,102,Cape Verde,Bulgaria,0,864,17:31,17:09,18-Mar
Boliviana de Aviacion,3,Palau,France,3,1001,19:45,19:12,8-Dec
LATAM Airlines,31,Bermuda,Comoros,2,1366,16:40,6:00,9-Jan
Boliviana de Aviacion,52,Argentina,Australia,0,1637,18:12,5:06,19-Jan
Insel Air,48,French Polynesia,Burkina Faso,2,671,17:58,5:14,13-Apr
Insel Air,78,Jamaica,Chad,1,232,17:47,2:51,6-Mar
Viva Air Colombia,143,Qatar,Aruba,1,1887,23:00,23:09,30-Dec
Gol Transportes Aereos,67,Mongolia,Bulgaria,0,1894,21:52,5:39,9-Jan
Avianca Airlines,3,United States Minor Outlying Islands,Antarctica,0,1805,0:16,3:18,28-Mar
Aerolineas Argentinas Airlines,61,Marshall Islands,Burkina Faso,0,258,10:20,24:06:00,25-Jul
Avianca Airlines,23,Micronesia Federated States of,Virgin Islands British,1,1306,10:12,1:15,8-Feb
American Airlines,27,Albania,Andorra,3,1043,16:45,1:45,15-Nov
Aerolineas Argentinas Airlines,42,Holy See Vatican City State,Libya,0,510,6:04,13:22,13-Mar
Copa Airlines,63,Dominican Republic,Latvia,3,1288,14:27,8:00,23-Sep
Avianca Airlines,121,Venezuela Bolivarian Republic of,Ukraine,0,1384,22:57,11:20,12-Dec
Boliviana de Aviacion,76,United States Minor Outlying Islands,Cameroon,3,880,8:11,23:49,8-Oct
Copa Airlines,126,Saint Kitts and Nevis,Brazil,2,624,23:24,24:55:00,9-Dec
Air Canada,101,Syrian Arab Republic,Sudan,2,1841,8:35,11:29,2-Mar
Aeromexico,134,South Georgia and the South Sandwich Islands,Botswana,2,1727,21:09,24:11:00,4-Jul
TAME,117,Guatemala,United Arab Emirates,3,787,18:07,18:31,11-Oct
Linea Aerea Amaszonas,89,Bouvet Island,Antigua and Barbuda,3,616,20:28,19:55,11-Aug
Air Canada,52,Uruguay,Venezuela Bolivarian Republic of,2,1642,20:06,24:28:00,17-Jan
